"STAID","SOUID","DATE","HU","Q_HU"
45,15750,20170601,-9999,9
45,15750,20170701,-9999,9
45,15750,20170801,-9999,9
45,15750,20170901,-9999,9
45,15750,20171001,-9999,9
46,23243,20170101,-9999,9
46,23243,20170201,-9999,9
46,23243,20170301,-9999,9
46,23243,20170401,-9999,9
46,23243,20170501,-9999,9
46,23243,20170601,-9999,9
46,23243,20170701,-9999,9
46,23243,20170801,-9999,9
46,23243,20170901,-9999,9
46,23243,20171001,-9999,9
47,11414,20170101,94,0
47,11414,20170201,93,0
47,11414,20170301,85,0
47,11414,20170401,71,0
47,11414,20170501,57,0
47,11414,20170601,67,0
47,11414,20170701,91,0
47,11414,20170801,80,0
47,11414,20170901,83,0
47,910147,20171001,82,0
48,11537,20170101,29,0
48,11537,20170201,99,0
48,11537,20170301,77,0
48,11537,20170401,46,0
48,11537,20170501,81,0
48,11537,20170601,69,0
48,11537,20170701,68,0
48,11537,20170801,53,0
48,11537,20170901,97,0
48,910962,20171001,97,0
49,15756,20170101,84,0
49,15756,20170201,88,0
49,15756,20170301,74,0
49,15756,20170401,71,0
49,15756,20170501,57,0
49,15756,20170601,62,0
49,15756,20170701,76,0
49,15756,20170801,68,0
49,15756,20170901,77,0
49,15756,20171001,-9999,9
50,15762,20170101,94,0
50,15762,20170201,90,0
50,15762,20170301,87,0
50,15762,20170401,65,0
50,15762,20170501,78,0
50,15762,20170601,61,0
50,15762,20170701,89,0
50,15762,20170801,86,0
50,15762,20170901,77,0
50,15762,20171001,-9999,9
51,11501,20170101,99,0
51,11501,20170201,93,0
51,11501,20170301,82,0
51,11501,20170401,67,0
51,11501,20170501,84,0
51,11501,20170601,59,0
51,11501,20170701,81,0
51,11501,20170801,78,0
51,11501,20170901,75,0
51,910731,20171001,83,0
52,15785,20170101,91,0
52,15785,20170201,91,0
52,15785,20170301,66,0
52,15785,20170401,48,0
52,15785,20170501,83,0
52,15785,20170601,57,0
52,15785,20170701,57,0
52,15785,20170801,60,0
52,15785,20170901,93,0
52,910865,20171001,87,0
53,26339,20170101,-9999,9
53,26339,20170201,-9999,9
53,26339,20170301,-9999,9
53,26339,20170401,-9999,9
53,26339,20170501,-9999,9
53,26339,20170601,-9999,9
53,26339,20170701,-9999,9
53,26339,20170801,-9999,9
53,26339,20170901,-9999,9
53,26339,20171001,-9999,9
54,11439,20170101,83,0
54,11439,20170201,95,0
54,11439,20170301,87,0
54,11439,20170401,57,0
54,11439,20170501,57,0
54,11439,20170601,54,0
54,11439,20170701,93,0
54,11439,20170801,75,0
54,11439,20170901,84,0
54,910379,20171001,92,0
55,2208,20170101,93,0
55,2208,20170201,96,0
55,2208,20170301,85,0
55,2208,20170401,74,0
55,2208,20170501,61,0
55,2208,20170601,65,0
55,2208,20170701,93,0
55,2208,20170801,81,0
55,2208,20170901,76,0
55,910162,20171001,84,0
58,11533,20170101,29,0
58,11533,20170201,94,0
58,11533,20170301,88,0
58,11533,20170401,67,0
58,11533,20170501,76,0
58,11533,20170601,92,0
58,11533,20170701,99,0
58,11533,20170801,53,0
58,11533,20170901,100,0
58,910961,20171001,94,0
59,1318,20170101,-9999,9
59,1318,20170201,-9999,9
59,1318,20170301,-9999,9
59,1318,20170401,-9999,9
59,1318,20170501,-9999,9
59,1318,20170601,-9999,9
59,1318,20170701,-9999,9
59,1318,20170801,-9999,9
59,1318,20170901,-9999,9
59,1318,20171001,-9999,9
60,2827,20170101,-9999,9
60,2827,20170201,-9999,9
60,2827,20170301,-9999,9
60,2827,20170401,-9999,9
60,2827,20170501,-9999,9
60,2827,20170601,-9999,9
60,2827,20170701,-9999,9
60,2827,20170801,-9999,9
60,2827,20170901,-9999,9
60,2827,20171001,-9999,9
61,4498,20170101,-9999,9
61,4498,20170201,-9999,9
61,4498,20170301,-9999,9
61,4498,20170401,-9999,9
61,4498,20170501,-9999,9
61,4498,20170601,-9999,9
61,4498,20170701,-9999,9
61,4498,20170801,-9999,9
61,4498,20170901,-9999,9
61,4498,20171001,-9999,9
62,1320,20170101,-9999,9
62,1320,20170201,-9999,9
62,1320,20170301,-9999,9
62,1320,20170401,-9999,9
62,1320,20170501,-9999,9
62,1320,20170601,-9999,9
62,1320,20170701,-9999,9
62,1320,20170801,-9999,9
62,1320,20170901,-9999,9
62,1320,20171001,-9999,9
63,4496,20170101,-9999,9
63,4496,20170201,-9999,9
63,4496,20170301,-9999,9
63,4496,20170401,-9999,9
63,4496,20170501,-9999,9
63,4496,20170601,-9999,9
63,4496,20170701,-9999,9
63,4496,20170801,-9999,9
63,4496,20170901,-9999,9
63,4496,20171001,-9999,9
64,5944,20170101,-9999,9
64,5944,20170201,-9999,9
64,5944,20170301,-9999,9
64,5944,20170401,-9999,9
64,5944,20170501,-9999,9
64,5944,20170601,-9999,9
64,5944,20170701,-9999,9
64,5944,20170801,-9999,9
64,5944,20170901,-9999,9
64,5944,20171001,-9999,9
65,75759,20170101,-9999,9
65,75759,20170201,-9999,9
65,75759,20170301,-9999,9
