"STAID","SOUID","DATE","TG","Q_TG"
64,246,20170101,-9999,9
64,246,20170201,-9999,9
64,246,20170301,-9999,9
64,246,20170401,-9999,9
64,246,20170501,-9999,9
64,246,20170601,-9999,9
64,246,20170701,-9999,9
64,246,20170801,-9999,9
64,246,20170901,-9999,9
64,246,20171001,-9999,9
65,904097,20170101,26,0
65,904097,20170201,44,0
65,904097,20170301,6,0
65,904097,20170401,46,0
65,904097,20170501,48,0
65,904097,20170601,56,0
65,904097,20170701,96,0
65,904097,20170801,84,0
65,904097,20170901,120,0
65,904097,20171001,80,0
66,253,20170101,-9999,9
66,253,20170201,-9999,9
66,253,20170301,-9999,9
66,253,20170401,-9999,9
66,253,20170501,-9999,9
66,253,20170601,-9999,9
66,253,20170701,-9999,9
66,253,20170801,-9999,9
66,253,20170901,-9999,9
66,253,20171001,-9999,9
67,904013,20170101,31,0
67,904013,20170201,14,0
67,904013,20170301,-10,0
67,904013,20170401,46,0
67,904013,20170501,106,0
67,904013,20170601,101,0
67,904013,20170701,112,0
67,904013,20170801,120,0
67,904013,20170901,145,0
67,904013,20171001,102,0
68,261,20170101,-9999,9
68,261,20170201,-9999,9
68,261,20170301,-9999,9
68,261,20170401,-9999,9
68,261,20170501,-9999,9
68,261,20170601,-9999,9
68,261,20170701,-9999,9
68,261,20170801,-9999,9
68,261,20170901,-9999,9
68,261,20171001,-9999,9
69,265,20170101,-9999,9
69,265,20170201,-9999,9
69,265,20170301,-9999,9
69,265,20170401,-9999,9
69,265,20170501,-9999,9
69,265,20170601,-9999,9
69,265,20170701,-9999,9
69,265,20170801,-9999,9
69,265,20170901,-9999,9
69,265,20171001,-9999,9
70,269,20170101,-9999,9
70,269,20170201,-9999,9
70,269,20170301,-9999,9
70,269,20170401,-9999,9
70,269,20170501,-9999,9
70,269,20170601,-9999,9
70,269,20170701,-9999,9
70,269,20170801,-9999,9
70,269,20170901,-9999,9
70,269,20171001,-9999,9
71,273,20170101,-9999,9
71,273,20170201,-9999,9
71,273,20170301,-9999,9
71,273,20170401,-9999,9
71,273,20170501,-9999,9
71,273,20170601,-9999,9
71,273,20170701,-9999,9
71,273,20170801,-9999,9
71,273,20170901,-9999,9
71,273,20171001,-9999,9
72,277,20170101,-9999,9
72,277,20170201,-9999,9
72,277,20170301,-9999,9
72,277,20170401,-9999,9
72,277,20170501,-9999,9
72,277,20170601,-9999,9
72,277,20170701,-9999,9
72,277,20170801,-9999,9
72,277,20170901,-9999,9
72,277,20171001,-9999,9
73,281,20170101,-9999,9
73,281,20170201,-9999,9
73,281,20170301,-9999,9
73,281,20170401,-9999,9
73,281,20170501,-9999,9
73,281,20170601,-9999,9
73,281,20170701,-9999,9
73,281,20170801,-9999,9
73,281,20170901,-9999,9
73,281,20171001,-9999,9
74,285,20170101,-9999,9
74,285,20170201,-9999,9
74,285,20170301,-9999,9
74,285,20170401,-9999,9
74,285,20170501,-9999,9
74,285,20170601,-9999,9
74,285,20170701,-9999,9
74,285,20170801,-9999,9
74,285,20170901,-9999,9
74,285,20171001,-9999,9
75,289,20170101,-9999,9
75,289,20170201,-9999,9
75,289,20170301,-9999,9
75,289,20170401,-9999,9
75,289,20170501,-9999,9
75,289,20170601,-9999,9
75,289,20170701,-9999,9
75,289,20170801,-9999,9
75,289,20170901,-9999,9
75,289,20171001,-9999,9
76,293,20170101,-9999,9
76,293,20170201,-9999,9
76,293,20170301,-9999,9
76,293,20170401,-9999,9
76,293,20170501,-9999,9
76,293,20170601,-9999,9
76,293,20170701,-9999,9
76,293,20170801,-9999,9
76,293,20170901,-9999,9
76,293,20171001,-9999,9
77,926702,20170101,32,0
77,926702,20170201,-28,0
77,926702,20170301,39,0
77,926702,20170401,153,0
77,926702,20170501,61,0
77,926702,20170601,138,0
77,926702,20170701,150,0
77,926702,20170801,210,0
77,926702,20170901,169,0
77,926702,20171001,81,0
78,922217,20170101,-87,0
78,922217,20170201,-98,0
78,922217,20170301,-98,0
78,922217,20170401,-46,0
78,922217,20170501,26,0
78,922217,20170601,43,0
78,922217,20170701,134,0
78,922217,20170801,124,0
78,922217,20170901,87,0
78,922217,20171001,59,0
79,922520,20170101,-25,0
79,922520,20170201,-9999,9
79,922520,20170301,-9999,9
79,922520,20170401,-42,0
79,922520,20170501,-9999,9
79,922520,20170601,10,0
79,922520,20170701,94,0
79,922520,20170801,156,0
79,922520,20170901,139,0
79,922520,20171001,73,0
80,934009,20170101,-24,0
80,934009,20170201,-112,0
80,934009,20170301,36,0
80,934009,20170401,17,0
80,934009,20170501,182,0
80,934009,20170601,168,0
80,934009,20170701,219,0
80,934009,20170801,231,0
80,934009,20170901,136,0
80,934009,20171001,73,0
81,313,20170101,-9999,9
81,313,20170201,-9999,9
81,313,20170301,-9999,9
81,313,20170401,-9999,9
81,313,20170501,-9999,9
81,313,20170601,-9999,9
81,313,20170701,-9999,9
81,313,20170801,-9999,9
81,313,20170901,-9999,9
81,313,20171001,-9999,9
82,317,20170101,-9999,9
82,317,20170201,-9999,9
82,317,20170301,-9999,9
82,317,20170401,-9999,9
82,317,20170501,-9999,9
82,317,20170601,-9999,9
82,317,20170701,-9999,9
82,317,20170801,-9999,9
82,317,20170901,-9999,9
82,317,20171001,-9999,9
83,321,20170101,-9999,9
83,321,20170201,-9999,9
83,321,20170301,-9999,9
83,321,20170401,-9999,9
83,321,20170501,-9999,9
83,321,20170601,-9999,9
83,321,20170701,-9999,9
83,321,20170801,-9999,9
83,321,20170901,-9999,9
83,321,20171001,-9999,9
84,325,20170101,-9999,9
84,325,20170201,-9999,9
84,325,20170301,-9999,9
84,325,20170401,-9999,9
84,325,20170501,-9999,9
84,325,20170601,-9999,9
84,325,20170701,-9999,9
84,325,20170801,-9999,9
84,325,20170901,-9999,9
84,325,20171001,-9999,9
85,926063,20170101,11,0
85,926063,20170201,-19,0
85,926063,20170301,56,0
85,926063,20170401,28,0
85,926063,20170501,65,0
85,926063,20170601,87,0
85,926063,20170701,136,0
85,926063,20170801,206,0
85,926063,20170901,178,0
85,926063,20171001,90,0
86,922113,20170101,-32,0
86,922113,20170201,-70,0
86,922113,20170301,-124,0
86,922113,20170401,-35,0
86,922113,20170501,23,0
86,922113,20170601,20,0
86,922113,20170701,153,0
86,922113,20170801,116,0
86,922113,20170901,90,0
86,922113,20171001,48,0
87,927612,20170101,13,0
87,927612,20170201,-44,0
87,927612,20170301,41,0
87,927612,20170401,11,0
87,927612,20170501,190,0
87,927612,20170601,141,0
87,927612,20170701,196,0
87,927612,20170801,211,0
87,927612,20170901,148,0
87,927612,20171001,49,0
88,341,20170101,-9999,9
88,341,20170201,-9999,9
88,341,20170301,-9999,9
88,341,20170401,-9999,9
88,341,20170501,-9999,9
88,341,20170601,-9999,9
88,341,20170701,-9999,9
88,341,20170801,-9999,9
88,341,20170901,-9999,9
88,341,20171001,-9999,9
89,345,20170101,-9999,9
89,345,20170201,-9999,9
89,345,20170301,-9999,9
89,345,20170401,-9999,9
89,345,20170501,-9999,9
89,345,20170601,-9999,9
89,345,20170701,-9999,9
89,345,20170801,-9999,9
89,345,20170901,-9999,9
89,345,20171001,-9999,9
90,349,20170101,-9999,9
90,349,20170201,-9999,9
90,349,20170301,-9999,9
90,349,20170401,-9999,9
90,349,20170501,-9999,9
90,349,20170601,-9999,9
90,349,20170701,-9999,9
90,349,20170801,-9999,9
90,349,20170901,-9999,9
90,349,20171001,-9999,9
91,353,20170101,-9999,9
91,353,20170201,-9999,9
91,353,20170301,-9999,9
91,353,20170401,-9999,9
91,353,20170501,-9999,9
91,353,20170601,-9999,9
91,353,20170701,-9999,9
91,353,20170801,-9999,9
91,353,20170901,-9999,9
91,353,20171001,-9999,9
92,927823,20170101,-9999,9
92,927823,20170201,-9999,9
92,927823,20170301,-9999,9
92,927823,20170401,-9999,9
92,357,20170501,-9999,9
92,357,20170601,-9999,9
92,357,20170701,-9999,9
92,357,20170801,-9999,9
92,357,20170901,-9999,9
92,357,20171001,-9999,9
93,922820,20170101,6,0
93,922820,20170201,-53,0
93,922820,20170301,26,0
93,922820,20170401,-15,0
93,922820,20170501,55,0
93,922820,20170601,66,0
93,922820,20170701,146,0
93,922820,20170801,194,0
93,922820,20170901,168,0
93,922820,20171001,75,0
94,365,20170101,-9999,9
94,365,20170201,-9999,9
94,365,20170301,-9999,9
94,365,20170401,-9999,9
94,365,20170501,-9999,9
94,365,20170601,-9999,9
94,365,20170701,-9999,9
94,365,20170801,-9999,9
94,365,20170901,-9999,9
94,365,20171001,-9999,9
95,926258,20170101,60,0
95,926258,20170201,0,0
95,926258,20170301,45,0
95,926258,20170401,-10,0
95,926258,20170501,36,0
95,926258,20170601,99,0
95,926258,20170701,167,0
95,926258,20170801,193,0
95,926258,20170901,157,0
95,926258,20171001,77,0
96,373,20170101,-9999,9
96,373,20170201,-9999,9
96,373,20170301,-9999,9
96,373,20170401,-9999,9
96,373,20170501,-9999,9
96,373,20170601,-9999,9
96,373,20170701,-9999,9
96,373,20170801,-9999,9
96,373,20170901,-9999,9
96,373,20171001,-9999,9
97,926781,20170101,5,0
97,926781,20170201,-74,0
97,926781,20170301,26,0
97,926781,20170401,15,0
97,926781,20170501,135,0
97,926781,20170601,133,0
97,926781,20170701,185,0
97,926781,20170801,220,0
97,926781,20170901,127,0
97,926781,20171001,68,0
98,922802,20170101,17,0
98,922802,20170201,-36,0
98,922802,20170301,23,0
98,922802,20170401,-29,0
98,922802,20170501,61,0
98,922802,20170601,67,0
98,922802,20170701,164,0
98,922802,20170801,199,0
98,922802,20170901,173,0
98,922802,20171001,84,0
99,385,20170101,-9999,9
99,385,20170201,-9999,9
99,385,20170301,-9999,9
99,385,20170401,-9999,9
99,385,20170501,-9999,9
99,385,20170601,-9999,9
99,385,20170701,-9999,9
99,385,20170801,-9999,9
99,385,20170901,-9999,9
99,385,20171001,-9999,9
100,389,20170101,-9999,9
100,389,20170201,-9999,9
100,389,20170301,-9999,9
100,389,20170401,-9999,9
100,389,20170501,-9999,9
100,389,20170601,-9999,9
100,389,20170701,-9999,9
100,389,20170801,-9999,9
100,389,20170901,-9999,9
100,389,20171001,-9999,9
101,393,20170101,-9999,9
101,393,20170201,-9999,9
101,393,20170301,-9999,9
101,393,20170401,-9999,9
101,393,20170501,-9999,9
101,393,20170601,-9999,9
101,393,20170701,-9999,9
101,393,20170801,-9999,9
101,393,20170901,-9999,9
101,393,20171001,-9999,9
102,923405,20170101,-9999,9
102,923405,20170201,-9999,9
102,923405,20170301,-9999,9
102,923405,20170401,-9999,9
102,923405,20170501,-9999,9
102,923405,20170601,-9999,9
102,923405,20170701,-9999,9
102,923405,20170801,-9999,9
102,923405,20170901,-9999,9
102,923405,20171001,-9999,9
103,926477,20170101,36,0
103,926477,20170201,-22,0
103,926477,20170301,34,0
103,926477,20170401,14,0
103,926477,20170501,51,0
103,926477,20170601,114,0
103,926477,20170701,177,0
103,926477,20170801,211,0
103,926477,20170901,145,0
103,926477,20171001,74,0
104,405,20170101,-9999,9
104,405,20170201,-9999,9
104,405,20170301,-9999,9
104,405,20170401,-9999,9
104,405,20170501,-9999,9
104,405,20170601,-9999,9
104,405,20170701,-9999,9
104,405,20170801,-9999,9
104,405,20170901,-9999,9
104,405,20171001,-9999,9
105,409,20170101,-9999,9
105,409,20170201,-9999,9
105,409,20170301,-9999,9
105,409,20170401,-9999,9
105,409,20170501,-9999,9
105,409,20170601,-9999,9
105,409,20170701,-9999,9
105,409,20170801,-9999,9
105,409,20170901,-9999,9
105,409,20171001,-9999,9
106,906193,20170101,55,0
106,906193,20170201,8,0
106,906193,20170301,48,0
106,906193,20170401,124,0
106,906193,20170501,59,0
106,906193,20170601,124,0
106,906193,20170701,135,0
106,906193,20170801,186,0
106,906193,20170901,165,0
106,906193,20171001,142,0
107,906052,20170101,71,0
107,906052,20170201,19,0
107,906052,20170301,43,0
107,906052,20170401,98,0
107,906052,20170501,93,0
107,906052,20170601,118,0
107,906052,20170701,162,0
107,906052,20170801,175,0
107,906052,20170901,161,0
107,906052,20171001,147,0
109,832,20170101,-9999,9
109,832,20170201,-9999,9
109,832,20170301,-9999,9
109,832,20170401,-9999,9
109,832,20170501,-9999,9
109,832,20170601,-9999,9
109,832,20170701,-9999,9
109,832,20170801,-9999,9
109,832,20170901,-9999,9
109,832,20171001,-9999,9
113,833,20170101,-9999,9
113,833,20170201,-9999,9
113,833,20170301,-9999,9
113,833,20170401,-9999,9
113,833,20170501,-9999,9
113,833,20170601,-9999,9
113,833,20170701,-9999,9
113,833,20170801,-9999,9
113,833,20170901,-9999,9
113,833,20171001,-9999,9
116,906180,20170101,62,0
